f1-score=0.89,
963,0
964,0
965,0
966,0
967,0
970,0
971,0
972,0
973,0
974,0
975,1
976,1
977,0
988,1
998,0
999,0
1000,0
1001,0
1002,1
1003,0
1004,1
1005,0
1006,0
1007,0
1010,0
1011,0
1012,0
1013,1
1014,1
1015,0
1016,0
1017,0
1028,1
1038,0
1039,0
1062,0
1063,0
1076,0
1077,1
1088,0
1089,0
1103,0
1117,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1165,1
1166,0
1170,0
1171,1
1172,1
1173,0
1174,0
1175,0
1176,0
1177,1
1188,0
1189,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,1
1204,0
1206,0
1207,0
1210,0
1211,1
1212,0
1213,0
1214,0
1215,0
1216,1
1217,0
1228,0
1238,0
1249,1
1260,0
1261,1
1274,0
1275,0
1301,0
1314,0
1315,0
1329,0
1348,0
1349,0
1358,1
1359,0
1360,0
1361,0
1362,1
1363,0
1364,0
1365,0
1366,1
1367,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,1
1377,1
1388,0
1389,0
1398,0
1401,0
1402,1
1404,0
1405,1
1406,1
1407,0
1410,1
1411,0
1413,0
1414,0
1415,0
1416,0
1417,0
1438,0
1439,0
1466,1
1467,0
1472,0
1473,1
1498,0
1507,1
1512,1
1513,0
1548,0
1549,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,1
1566,0
1567,0
1570,0
1571,0
1573,0
1574,0
1575,0
1576,1
1577,1
1588,0
1598,1
1599,1
1600,0
1601,0
1602,0
1604,0
1605,0
1606,0
1607,0
1610,0
1611,0
1612,1
1614,1
1616,1
1628,1
1638,1
1639,0
1659,1
1665,0
1704,0
1705,0
1710,1
1711,1
1739,0
1748,0
1749,0
1758,0
1759,0
1761,1
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1772,1
1773,1
1774,0
1775,0
1776,0
1777,1
1788,1
1789,1
1799,0
1808,0
1809,0
1818,0
1819,1
1820,0
1821,0
1822,0
1823,0
1824,0
1825,1
1826,1
1827,0
1830,0
1831,0
1832,0
1834,0
1835,0
1836,0
1837,1
1842,0
1856,0
1881,0
1895,0
1923,0
1936,1
1937,0
1941,0
1942,0
1943,1
1945,0
1946,0
1947,0
1950,0
1951,0
1952,1
1953,0
1954,0
1956,0
1957,0
1968,0
1969,0
1979,0
1980,1
1981,1
1982,1
1983,0
1984,0
1985,0
1986,0
1987,0
1990,0
1991,0
1993,0
1994,1
1995,0
1996,1
1997,1
2026,1
2027,1
2033,1
2041,0
2042,1
2043,0
2044,0
2045,0
2046,0
2047,0
2050,1
2051,0
2052,0
2054,0
2055,0
2057,0
2068,0
2069,0
2078,0
2080,0
2082,0
2083,0
2084,0
2085,1
2086,0
2087,0
2090,0
2091,0
2092,0
2093,0
2094,0
2096,1
2109,0
2118,1
2119,0
2120,0
2121,0
2122,0
2123,1
2124,0
2125,0
2126,0
2127,1
2130,0
2131,1
2132,0
2133,0
2134,1
2135,0
2136,0
2137,1
2146,1
2147,0
2153,0
2184,1
2185,1
2191,1
2218,1
2219,0
2224,0
2225,0
2230,0
2231,0
2241,0
2242,1
2243,0
2244,1
2245,0
2246,0
2247,1
2250,1
2251,0
2253,0
2254,0
2255,0
2256,0
2257,1
2268,0
2269,1
2278,1
2280,0
2281,0
2282,1
2283,1
2285,0
2286,0
2290,1
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2308,0
2309,0
2318,1
2319,0
2320,1
2321,0
2322,0
2323,0
2324,0
2325,0
2326,0
2327,0
2332,0
2333,0
2335,0
2336,0
2337,0
2344,1
2350,0
2378,0
2387,0
2393,1
2422,0
2436,1
2440,0
2441,0
2442,1
2443,0
2444,0
2445,1
2446,0
2447,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2468,1
2478,0
2479,1
2480,0
2481,0
2482,1
2483,0
2484,0
2490,0
2491,0
2492,0
2493,0
2494,0
2495,0
2496,1
2497,0
2508,0
2509,0
2518,0
2519,0
2520,0
2521,0
2522,1
2523,0
2524,1
2525,0
2526,0
2527,0
2530,0
2531,1
2532,0
2534,0
2535,0
2536,0
2542,0
2543,0
2556,0
2580,0
2581,0
2594,1
2595,0
2608,0
2609,0
2620,1
2621,0
2634,0
2640,0
2641,0
2642,0
2643,0
2644,0
2645,0
2646,0
2652,1
2653,0
2654,1
2655,0
2656,0
2657,0
2668,0
2669,1
2678,0
2679,1
2680,0
2682,0
2683,0
2684,1
2686,0
2687,0
2690,1
2691,1
2692,0
2693,0
2695,0
2696,0
2697,0
2708,0
2709,0
2718,1
2720,0
2721,0
2722,0
2723,0
2725,0
2726,0
2727,1
2730,0
2731,0
2733,0
2734,0
2735,0
2736,0
2737,1
2740,0
2741,0
2754,0
2755,1
2768,1
2769,0
2797,0
2807,1
2813,1
2848,0
2849,0
2858,0
2860,0
2861,0
2862,0
2863,0
2864,1
2865,1
2866,0
2867,1
2871,0
2872,0
2873,0
2874,0
2875,1
2876,0
2877,0
2889,0
2898,0
2899,0
2900,0
2901,1
2902,0
2903,1
2904,1
2905,0
2906,0
2910,0
2911,0
2913,0
2914,0
2916,0
2917,0
2928,0
2929,1
2938,0
2939,0
2966,0
2967,0
2972,1
2973,0
2998,0
2999,0
3000,0
3001,0
3002,0
3003,0
3004,0
3005,0
3006,0
3007,0
3010,0
3011,0
3012,0
3013,0
3015,0
3016,0
3017,0
3028,0
3029,0
3038,0
3039,0
3066,1
3072,0
3106,0
3107,0
3112,0
3113,0
3148,0
3149,1
3158,0
3160,0
3161,0
3162,0
3163,0
3164,0
3165,0
3166,0
3167,0
3170,0
3172,1
3173,0
3174,0
3176,0
3177,0
3188,0
3189,0
3198,1
3199,0
3200,0
3201,1
3202,0
3203,0
3204,0
3205,0
3206,0
3207,0
3210,1
3211,0
3212,0
3213,1
3214,0
3215,0
3216,0
3217,1
3228,0
3229,0
3239,0
3259,0
3270,0
3271,0
3304,0
3305,1
3310,0
3311,0
3338,0
3348,0
3349,1
3358,0
3359,0
3361,0
3363,0
3365,0
3366,0
3367,0
3370,1
3371,0
3372,0
3373,0
3374,0
3376,0
3377,0
3388,1
3399,1
3400,0
3401,0
3403,0
3404,1
3405,0
3406,0
3407,0
3410,0
3411,0
3412,0
3413,0
3414,0
3415,0
3417,0
3428,1
3429,0
3439,1
3462,0
3463,1
3476,0
3477,1
3488,0
3502,0
3517,0
3548,0
3549,1
3558,0
3559,1
3560,0
3561,0
3562,0
3563,0
3565,0
3567,0
3570,0
3571,0
3572,0
3573,0
3575,0
3576,0
3577,0
3588,0
3589,0
3598,0
3599,0
3600,0
3601,1
3602,0
3603,1
3604,1
3605,0
3606,0
3607,0
3610,0
3611,0
3612,0
3613,0
3614,0
3615,1
3616,1
3617,1
3628,0
3629,0
3638,0
3639,0
3648,1
3649,1
3661,0
3674,1
3675,0
3700,1
3714,0
3728,1
3748,0
3749,0
3758,0
3759,1
3760,0
3761,0
3762,0
3763,1
3764,0
3765,1
3766,0
3767,1
3770,0
3771,0
3772,0
3773,0
3774,0
3775,0
3777,1
3788,1
3798,0
3799,0
3818,0
3819,0
3820,0
3821,0
3822,1
3823,0
3824,0
3825,0
3826,0
3827,0
3830,0
3831,0
3832,0
3833,1
3834,0
3836,0
3837,0
3846,0
3847,0
3852,0
3853,0
3884,0
3885,1
3890,0
3891,0
3927,0
3933,0
3940,1
3941,0
3942,0
3943,0
3944,0
3945,1
3946,0
3947,0
3952,0
3953,0
3954,1
3955,0
3956,0
3957,1
3968,1
3969,0
3978,1
3980,0
3982,1
3983,0
3984,0
3985,0
3987,0
3990,0
3991,0
3993,1
3994,0
3995,1
3996,1
3997,0
4008,0
4009,0
4018,0
4019,1
4020,0
4021,0
4022,1
4023,0
4024,0
4025,0
4026,0
4027,0
4030,0
4031,0
4032,1
4034,0
4035,0
4036,0
4037,0
4047,0
4053,0
4084,1
4090,1
4126,0
4127,1
4132,1
4133,0
4140,1
4141,0
4142,0
4143,0
4144,0
4145,1
4146,0
4147,0
4150,0
4152,0
4153,0
4155,0
4156,0
4157,0
4168,0
4169,0
4178,0
4180,1
4181,0
4182,0
4184,1
4185,0
4187,0
4190,1
4191,1
4192,0
4193,0
4194,0
4195,0
4196,0
4197,0
4208,0
4209,0
4218,0
4219,0
4220,0
4221,1
4222,1
4223,1
4224,0
4226,0
4227,1
4230,1
4231,0
4232,1
4233,0
4234,0
4235,0
4236,0
4237,0
4244,0
4250,0
4251,0
4278,0
4279,1
4286,1
4292,0
4318,0
4324,0
4330,0
4342,0
4343,0
4344,1
4345,0
4347,0
4350,0
4351,0
4352,1
4353,0
4354,0
4355,0
4356,0
4357,1
4368,0
4369,0
4378,0
4379,0
4381,0
4383,0
4384,1
4385,0
4386,0
4387,0
4390,0
4391,0
4392,0
4393,1
4394,0
4395,0
4396,0
4409,1
4418,0
4419,0
4420,0
4421,0
4422,0
4423,0
4424,1
4425,1
4426,0
4430,0
4431,0
4432,0
4433,0
4434,0
4435,0
4436,1
4437,1
4442,0
4443,0
4456,0
4457,0
4480,0
4481,0
4494,1
4495,0
4522,0
4523,0
4536,1
4537,1
4540,0
4543,1
4544,0
4546,0
4547,1
4550,0
4551,0
4552,0
4554,1
4555,0
4556,1
4557,1
4568,1
4569,0
4578,0
4579,0
4580,0
4581,0
4582,1
4583,0
4585,0
4586,1
4587,0
4590,0
4593,1
4594,0
4596,0
4597,0
4608,0
4609,0
4618,0
4619,1
4621,1
4623,0
4627,0
4631,0
4632,0
4633,0
4634,0
4635,0
4636,1
4637,1
4640,0
4641,0
4655,0
4668,0
4682,0
4683,0
4696,1
4697,0
4709,0
4721,1
4740,0
4741,1
4742,1
4743,0
4744,1
4745,0
4746,0
4747,0
4751,0
4752,1
4753,0
4754,0
4755,0
4756,1
4757,0
4768,0
4779,0
4780,1
4781,0
4782,0
4783,0
4784,0
4785,0
4786,0
4787,0
4790,1
4791,1
4792,0
4793,0
4794,0
4795,0
4796,0
4797,0
4800,0
4801,0
4802,1
4803,0
4805,1
4806,0
4807,1
4810,1
4811,0
4812,0
4813,0
4815,0
4816,0
4817,0
4828,0
4829,0
4838,1
4839,1
4866,1
4867,0
4873,0
4898,0
4899,0
4906,1
4949,1
4958,0
4959,0
4961,0
4962,0
4964,1
4965,1
4966,0
4967,0
4970,0
4971,0
4972,0
4973,0
4975,1
4988,0
4989,0
4998,0
4999,1
