f1-score=0.92,
2044,0
2045,1
2046,1
2047,1
2050,1
2051,1
2052,0
2054,1
2055,1
2057,1
2068,1
2069,1
2078,1
2080,1
2082,1
2083,1
2084,0
2085,1
2086,0
2087,1
2090,1
2091,0
2092,1
2093,0
2094,1
2096,1
2109,1
2118,1
2119,1
2120,1
2121,1
2122,1
2123,1
2124,0
2125,0
2126,0
2127,1
2130,1
2131,1
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2146,1
2147,0
2153,1
2184,1
2185,1
2191,1
2218,1
2219,1
2224,1
2225,1
2230,1
2231,0
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2250,1
2251,1
2253,1
2254,1
2255,1
2256,1
2257,1
2268,1
2269,1
2278,1
2280,0
2281,1
2282,1
2283,1
2285,1
2286,1
2290,1
2292,1
2293,1
2294,0
2295,1
2296,0
2297,1
2308,1
2309,1
2318,1
2319,1
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,0
2327,1
2332,0
2333,1
2335,1
2336,1
2337,1
2344,1
2350,1
2378,1
2387,1
2393,1
2422,1
2436,1
2440,1
2441,1
2442,1
2443,0
2444,1
2445,1
2446,1
2447,1
2450,1
2451,1
2452,0
2453,1
2454,1
2455,0
2468,1
2478,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,0
2490,1
2491,1
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2508,1
2509,1
2518,1
2519,1
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2530,1
2531,1
2532,1
2534,1
2535,0
2536,1
2542,1
2543,1
2556,1
2580,1
2581,1
2594,1
2595,1
2608,1
2609,1
2620,0
2621,1
2634,1
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,1
2652,1
2653,1
2654,1
2655,0
2656,1
2657,1
2668,1
2669,1
2678,1
2679,1
2680,1
2682,1
2683,0
2684,1
2686,1
2687,1
2690,1
2691,1
2692,1
2693,1
2695,1
2696,1
2697,0
2708,1
2709,0
2718,1
2720,1
2721,0
2722,1
2723,0
2725,1
2726,1
2727,0
2730,1
2731,1
2733,1
2734,1
2735,1
2736,1
2737,1
2740,1
2741,0
2754,1
2755,1
2768,1
2769,0
2797,1
2807,1
2813,1
2848,1
2849,1
2858,1
2860,1
2861,1
2862,1
2863,1
2864,1
2865,1
2866,1
2867,1
2871,1
2872,1
2873,1
2874,1
2875,1
2876,1
2877,1
2889,1
2898,1
2899,1
2900,1
2901,1
2902,0
2903,1
2904,1
2905,1
2906,0
2910,1
2911,0
2913,1
2914,0
2916,1
2917,1
2928,0
2929,1
2938,1
2939,1
2966,1
2967,0
2972,1
2973,1
2998,1
2999,0
3000,0
3001,0
3002,0
3003,1
3004,1
3005,0
3006,1
3007,0
3010,1
3011,1
3012,0
3013,1
3015,1
3016,1
3017,0
3028,1
3029,1
3038,0
3039,1
3066,0
3072,1
3106,1
3107,1
3112,1
3113,1
3148,1
3149,1
3158,1
3160,1
3161,1
3162,1
3163,1
3164,1
3165,1
3166,1
3167,1
3170,1
3172,1
3173,1
3174,1
3176,1
3177,1
3188,1
3189,1
3198,1
3199,0
3200,1
3201,1
3202,1
3203,1
3204,1
3205,1
3206,1
3207,1
3210,1
3211,1
3212,0
3213,1
3214,1
3215,1
3216,1
3217,1
3228,1
3229,1
3239,1
3259,1
3270,0
3271,1
3304,1
3305,1
3310,0
3311,0
3338,1
3348,0
3349,1
3358,0
3359,0
3361,1
3363,1
3365,1
3366,1
3367,0
3370,0
3371,1
3372,0
3373,1
3374,1
3376,0
3377,1
3388,1
3399,1
3400,1
3401,1
3403,0
3404,0
3405,1
3406,1
3407,1
3410,1
3411,0
3412,1
3413,1
3414,1
3415,0
3417,1
3428,1
3429,1
3439,1
3462,1
3463,1
3476,1
3477,1
3488,1
3502,1
3517,1
3548,0
3549,1
3558,1
3559,1
3560,1
3561,1
3562,1
3563,1
3565,0
3567,1
3570,1
3571,1
3572,1
3573,1
3575,1
3576,1
3577,1
3588,1
3589,0
3598,1
3599,1
3600,0
3601,1
3602,1
3603,1
3604,1
3605,0
3606,1
3607,1
3610,1
3611,1
3612,1
3613,1
3614,1
3615,1
3616,1
3617,1
3628,1
3629,1
3638,1
3639,1
3648,1
3649,1
3661,1
3674,1
3675,1
3700,1
3714,1
3728,1
3748,0
3749,0
3758,0
3759,1
3760,1
3761,0
3762,0
3763,1
3764,0
3765,1
3766,1
3767,1
3770,1
3771,1
3772,0
3773,1
3774,1
3775,1
3777,1
3788,1
3798,1
3799,1
3818,1
3819,1
3820,1
3821,1
3822,1
3823,1
3824,1
3825,1
3826,0
3827,0
3830,1
3831,0
3832,1
3833,1
3834,1
3836,1
3837,0
3846,1
3847,1
3852,1
3853,1
3884,1
3885,1
3890,1
3891,0
3927,1
3933,1
3940,1
3941,1
3942,0
3943,0
3944,0
3945,1
3946,1
3947,0
3952,0
3953,0
3954,1
3955,1
3956,0
3957,1
3968,1
3969,1
3978,1
3980,1
3982,1
3983,1
3984,1
3985,1
3987,0
3990,0
3991,1
3993,1
3994,0
3995,1
3996,1
3997,1
4008,1
4009,1
4018,0
4019,1
4020,1
4021,1
4022,1
4023,0
4024,1
4025,1
4026,1
4027,1
4030,1
4031,1
4032,1
4034,1
4035,1
4036,1
4037,0
4047,0
4053,1
4084,1
4090,1
4126,1
4127,0
4132,1
4133,1
4140,0
4141,1
4142,1
4143,1
4144,1
4145,1
4146,1
4147,1
4150,1
4152,1
4153,0
4155,1
4156,1
4157,0
4168,1
4169,0
4178,1
4180,1
4181,1
4182,1
4184,1
4185,1
4187,1
4190,1
4191,1
4192,0
4193,1
4194,1
4195,1
4196,0
4197,0
4208,1
4209,1
4218,0
4219,1
4220,1
4221,1
4222,1
4223,1
4224,0
4226,1
4227,1
4230,1
4231,1
4232,1
4233,0
4234,0
4235,1
4236,1
4237,0
4244,1
4250,0
4251,0
4278,1
4279,1
4286,1
4292,1
4318,1
4324,1
4330,0
4342,0
4343,0
4344,1
4345,1
4347,1
4350,0
4351,1
4352,1
4353,1
4354,1
4355,0
4356,1
4357,1
4368,1
4369,1
4378,1
4379,1
4381,0
4383,1
4384,1
4385,1
4386,1
4387,1
4390,1
4391,1
4392,0
4393,1
4394,0
4395,1
4396,1
4409,1
4418,0
4419,1
4420,1
4421,0
4422,1
4423,1
4424,1
4425,0
4426,1
4430,1
4431,1
4432,0
4433,1
4434,0
4435,0
4436,1
4437,0
4442,0
4443,1
4456,1
4457,1
4480,0
4481,1
4494,1
4495,0
4522,1
4523,1
4536,1
4537,1
4540,1
4543,1
4544,1
4546,1
4547,1
4550,0
4551,1
4552,1
4554,1
4555,1
4556,1
4557,1
4568,1
4569,1
4578,1
4579,1
4580,1
4581,1
4582,1
4583,1
4585,0
4586,1
4587,1
4590,1
4593,1
4594,1
4596,1
4597,0
4608,1
4609,0
4618,1
4619,1
4621,1
4623,0
4627,1
4631,1
4632,0
4633,1
4634,1
4635,0
4636,1
4637,1
4640,1
4641,0
4655,1
4668,1
4682,1
4683,1
4696,1
4697,0
4709,1
4721,1
4740,1
4741,1
4742,1
4743,1
4744,1
4745,1
4746,1
4747,0
4751,1
4752,1
4753,1
4754,1
4755,1
4756,1
4757,1
4768,0
4779,1
4780,1
4781,1
4782,1
4783,1
4784,0
4785,1
4786,1
4787,1
4790,1
4791,1
4792,1
4793,0
4794,0
4795,0
4796,1
4797,0
4800,0
4801,0
4802,1
4803,1
4805,1
4806,1
4807,1
4810,1
4811,0
4812,1
4813,1
4815,1
4816,1
4817,1
4828,0
4829,1
4838,1
4839,1
4866,1
4867,1
4873,1
4898,1
4899,1
4906,1
4949,1
4958,1
4959,1
4961,1
4962,0
4964,1
4965,1
4966,1
4967,0
4970,1
4971,1
4972,1
4973,1
4975,1
4988,1
4989,1
4998,1
4999,1
